OS_USERNAME,USERNAME,USERHOST,TERMINAL,TIMESTAMP,OWNER,OBJ_NAME,ACTION_NAME,RETURNCODE,SQL_TEXT
oracle,SYSTEM,0203dc7f777c,pts/0,2026-01-12 15:09:29,SYS,SYSTEM_PRIVILEGE_MAP,SELECT,0,
oracle,SYSTEM,0203dc7f777c,pts/0,2026-01-12 15:09:29,SYS,SYSTEM_PRIVILEGE_MAP,SELECT,0,
oracle,SYSTEM,0203dc7f777c,pts/0,2026-01-12 15:09:29,SYS,STMT_AUDIT_OPTION_MAP,SELECT,0,
oracle,SYSTEM,0203dc7f777c,pts/0,2026-01-12 15:09:29,SYS,AUDIT_ACTIONS,SELECT,0,
oracle,SYSTEM,0203dc7f777c,pts/0,2026-01-12 15:09:29,SYS,DBA_AUDIT_TRAIL,SELECT,0,
oracle,SYSTEM,0203dc7f777c,pts/0,2026-01-12 15:09:29,SYS,AUD$,SELECT,0,
oracle,SYSTEM,0203dc7f777c,pts/0,2026-01-12 15:08:07,,,LOGON,0,
oracle,SYSTEM,0203dc7f777c,pts/0,2026-01-12 15:08:07,SYS,DUAL,SELECT,0,
oracle,SYSTEM,0203dc7f777c,pts/0,2026-01-12 15:07:47,SYSTEM,TEST_AUDIT,DROP TABLE,0,
oracle,SYSTEM,0203dc7f777c,pts/0,2026-01-12 15:07:47,,,LOGOFF,0,
oracle,SYSTEM,0203dc7f777c,pts/0,2026-01-12 15:07:46,SYS,OBJ$,SELECT,0,
oracle,SYSTEM,0203dc7f777c,pts/0,2026-01-12 15:07:46,SYS,USER$,SELECT,0,
oracle,SYSTEM,0203dc7f777c,pts/0,2026-01-12 15:07:46,SYS,_CURRENT_EDITION_OBJ,SELECT,0,
oracle,SYSTEM,0203dc7f777c,pts/0,2026-01-12 15:07:46,SYS,RLS$,SELECT,0,
oracle,SYSTEM,0203dc7f777c,pts/0,2026-01-12 15:07:46,SYS,DBA_POLICIES,SELECT,0,
oracle,SYSTEM,0203dc7f777c,pts/0,2026-01-12 15:07:46,SYSTEM,TEST_AUDIT,CREATE TABLE,955,
oracle,SYSTEM,0203dc7f777c,pts/0,2026-01-12 15:07:46,SYS,USER_EDITIONING$,SELECT,0,
oracle,SYSTEM,0203dc7f777c,pts/0,2026-01-12 15:07:46,SYSTEM,TEST_AUDIT,SELECT,0,
oracle,SYSTEM,0203dc7f777c,pts/0,2026-01-12 15:07:46,SYS,USER_EDITIONING$,SELECT,0,
oracle,SYSTEM,0203dc7f777c,pts/0,2026-01-12 15:07:46,SYS,USER$,SELECT,0,
oracle,SYSTEM,0203dc7f777c,pts/0,2026-01-12 15:07:46,SYS,OBJ$,SELECT,0,
oracle,SYSTEM,0203dc7f777c,pts/0,2026-01-12 15:07:46,SYS,USER$,SELECT,0,
oracle,SYSTEM,0203dc7f777c,pts/0,2026-01-12 15:07:46,SYS,DBA_POLICIES,SELECT,0,
oracle,SYSTEM,0203dc7f777c,pts/0,2026-01-12 15:07:46,SYS,RLS$,SELECT,0,
oracle,SYSTEM,0203dc7f777c,pts/0,2026-01-12 15:07:46,SYS,_CURRENT_EDITION_OBJ,SELECT,0,
oracle,SYSTEM,0203dc7f777c,pts/0,2026-01-12 15:07:46,SYS,USER$,SELECT,0,
oracle,SYSTEM,0203dc7f777c,pts/0,2026-01-12 15:07:46,SYS,OBJ$,SELECT,0,
oracle,SYSTEM,0203dc7f777c,pts/0,2026-01-12 15:07:46,SYS,USER_EDITIONING$,SELECT,0,
oracle,SYSTEM,0203dc7f777c,pts/0,2026-01-12 15:07:46,SYS,USER_EDITIONING$,SELECT,0,
oracle,SYSTEM,0203dc7f777c,pts/0,2026-01-12 15:07:46,SYS,USER$,SELECT,0,
oracle,SYSTEM,0203dc7f777c,pts/0,2026-01-12 15:07:46,SYS,OBJ$,SELECT,0,
oracle,SYSTEM,0203dc7f777c,pts/0,2026-01-12 15:07:46,SYS,USER$,SELECT,0,
oracle,SYSTEM,0203dc7f777c,pts/0,2026-01-12 15:07:03,,,LOGON,0,
oracle,SYSTEM,0203dc7f777c,pts/0,2026-01-12 15:07:03,SYS,DUAL,SELECT,0,
